Date,Children in HHS Care,Children discharged from HHS Care
February 01 2022,9351,214
February 02 2022,9525,201
February 03 2022,9643,150
February 06 2022,9543,401
February 07 2022,9487,392
February 08 2022,9584,294
February 09 2022,9540,276
February 10 2022,9596,403
February 13 2022,9465,307
February 14 2022,9614,297
February 15 2022,9757,233
February 16 2022,9781,289
February 17 2022,9808,346
February 21 2022,9801,243
February 22 2022,9955,204
February 23 2022,10020,287
February 24 2022,10049,259
February 27 2022,10032,398
February 28 2022,10107,334
March 01 2022,9981,374
March 02 2022,9964,402
March 03 2022,9938,431
March 06 2022,9633,343
March 07 2022,9634,355
March 08 2022,9781,292
March 09 2022,9783,369
March 10 2022,9824,359
March 13 2022,9767,324
March 14 2022,9825,316
March 15 2022,9909,323
March 16 2022,10012,295
March 17 2022,9968,363
March 20 2022,10018,279
March 21 2022,10031,353
March 22 2022,10158,210
March 23 2022,10351,310
March 24 2022,10278,356
March 27 2022,10101,332
March 28 2022,10140,344
March 29 2022,10248,261
March 30 2022,10293,298
March 31 2022,10465,306
April 03 2022,10326,467
April 04 2022,10448,271
April 05 2022,10370,422
April 06 2022,10364,361
April 07 2022,10328,389
April 10 2022,9974,350
April 11 2022,9801,429
April 12 2022,9905,298
April 13 2022,9934,328
April 14 2022,9748,521
April 17 2022,9478,300
April 18 2022,9421,383
April 19 2022,9412,247
April 20 2022,9419,287
April 21 2022,9274,450
April 24 2022,8785,410
April 25 2022,8725,344
April 26 2022,8741,274
April 27 2022,8675,340
April 28 2022,8608,363
May 01 2022,8376,472
May 02 2022,8390,321
May 03 2022,8437,232
May 04 2022,8488,266
May 05 2022,8385,406
May 08 2022,8385,387
May 09 2022,8574,181
May 10 2022,8654,348
May 11 2022,8826,241
May 12 2022,9022,304
May 15 2022,9050,254
May 16 2022,9152,311
May 17 2022,9325,298
May 18 2022,9252,340
May 19 2022,9332,326
May 22 2022,9392,291
May 23 2022,9505,322
May 24 2022,9656,230
May 25 2022,9823,271
May 26 2022,9915,360
May 30 2022,10078,205
May 31 2022,10341,231
June 01 2022,10571,244
June 02 2022,10608,374
June 03 2022,10224,469
June 06 2022,10187,447
June 07 2022,10240,304
June 08 2022,10248,420
June 09 2022,10313,379
June 12 2022,10104,384
June 13 2022,10297,285
June 14 2022,10259,415
June 15 2022,10167,443
June 16 2022,10198,395
June 20 2022,10680,332
June 21 2022,10961,174
June 22 2022,11253,360
June 23 2022,11360,368
June 26 2022,11363,552
June 27 2022,11467,288
June 28 2022,11760,304
June 29 2022,11883,311
June 30 2022,11912,418
July 04 2022,11843,371
July 05 2022,11913,279
July 06 2022,11905,412
July 07 2022,11977,391
July 10 2022,11578,504
July 11 2022,11535,449
July 12 2022,11567,341
July 13 2022,11644,318
July 14 2022,11568,491
July 17 2022,11490,507
July 18 2022,11483,362
July 19 2022,11541,311
July 20 2022,11540,479
July 21 2022,11642,351
July 24 2022,11203,485
July 25 2022,11268,213
July 26 2022,11225,369
July 27 2022,11156,456
July 28 2022,11080,383
July 31 2022,10447,471
August 01 2022,10445,370
August 02 2022,10393,378
August 03 2022,10293,374
August 04 2022,10172,416
August 07 2022,9876,518
August 08 2022,9881,331
August 09 2022,9884,281
August 10 2022,9774,423
August 11 2022,9760,315
August 14 2022,9308,366
August 15 2022,9248,280
August 16 2022,9278,240
August 17 2022,9435,275
August 18 2022,9315,404
August 21 2022,9087,388
August 22 2022,9170,190
August 23 2022,9131,278
August 24 2022,9107,297
August 25 2022,9070,367
August 28 2022,8749,330
August 29 2022,8814,317
August 30 2022,9029,238
August 31 2022,9073,286
September 01 2022,9100,284
September 05 2022,8989,223
September 06 2022,9015,232
September 07 2022,9141,246
September 08 2022,9146,310
September 11 2022,9132,297
September 12 2022,9179,263
September 13 2022,9348,225
September 14 2022,9480,249
September 18 2022,9225,276
September 19 2022,9382,251
September 20 2022,9449,233
September 21 2022,9535,243
September 22 2022,9530,339
September 25 2022,9256,356
September 26 2022,9267,279
September 27 2022,9355,200
September 28 2022,9450,220
September 29 2022,9486,323
October 02 2022,9612,314
October 03 2022,9634,307
October 04 2022,9592,258
October 05 2022,9517,304
October 06 2022,9441,350
October 10 2022,9556,249
October 11 2022,9715,218
October 12 2022,9731,280
October 13 2022,9735,287
October 16 2022,9600,381
October 17 2022,9640,258
October 18 2022,9743,236
October 19 2022,9814,282
October 20 2022,9734,365
October 23 2022,9523,386
